URL,Name,Vegetable,Meat,Other,Rice,Seafood,Ingredients
https://user-images.githubusercontent.com/113488749/236106608-a92a9dd4-905c-47e1-a7ff-37cd730e3f5c.png,Stewed Pork with Cabbage,Leaves,Pork,No,No,No,Chives
https://user-images.githubusercontent.com/113488749/236106609-f112e416-7900-49ec-bf38-d801bb6d1086.png,Beijing Lentil Noodles,Beans,No,No,Noodles,No,Red Pepper
https://user-images.githubusercontent.com/113488749/236106612-c35318ba-265f-4d9a-b5f2-fc09bae65627.png,Stir-fried Noodles,Mushrooms,No,No,Noodles,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106613-09359e33-e01e-4109-98f6-e4abbdab314c.png,Stewed Chicken,No,Chicken,No,No,No,Chives
https://user-images.githubusercontent.com/113488749/236106615-6de3e0f3-fd4f-44cd-b669-cd98cde4db0b.png,Kung Pao Chicken,Roots,Chicken,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106616-79855c7f-0afa-47a3-a728-1261fb7bbcf0.png,Taiwanese 3Cup Chicken,No,Chicken,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106618-95092053-e80a-4d78-9c8d-46f32fe97a87.png,Sichuan Dry Fried Green Beans,Beans,Pork,No,No,No,No
https://user-images.githubusercontent.com/113488749/236106620-96a03c07-2151-4160-ad49-e30a02452b02.png,Saut¨¦ed Chicken with Snow Peas,Beans,Chicken,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106621-89b09048-aa75-4830-8cd8-0e03784702b5.png,Mapo Tofu,No,Pork,Tofu,No,No,Chives
https://user-images.githubusercontent.com/113488749/236106622-f040e7da-0bc9-4c8a-9322-1372f7abdb6a.png,Braised Pork Belly,No,Pork,No,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106623-54d14e56-0b17-4887-b2ec-afcc3425faa3.png,Stir-fried Pork with Garlic Stalks,Leaves,Pork,No,No,No,Bird Eye Chillies
https://user-images.githubusercontent.com/113488749/236106625-f2741662-4921-4285-9056-9bc0c5c65590.png,Fried Noodles with Vegetables,Roots,Chicken,Tofu Skin,Noodles,No,Red Pepper
https://user-images.githubusercontent.com/113488749/236106626-237ea748-e322-4b2a-b06f-7a43e43498a1.png,Shanghai Scallion Oil Noodles,Leaves,No,No,Noodles,No,Chives
https://user-images.githubusercontent.com/113488749/236106628-1d4045f8-f96b-4b1b-ae0b-47d74fe9985c.png,Jajang Noodles,Roots,No,No,Noodles,No,Coriander
https://user-images.githubusercontent.com/113488749/236106629-9e83124b-f291-4135-8169-c848a7159fd4.png,Wonton,No,No,No,Wonton,No,Chives
https://user-images.githubusercontent.com/113488749/236106632-c88949bc-d8cb-445b-95ac-b178c08ba421.png,Egg and Tomato Stir-fry,Roots,No,Egg,No,No,Coriander
https://user-images.githubusercontent.com/113488749/236106633-788fd131-487f-43a9-83de-e415a815eb8f.png,Mapo Tofu,No,Pork,Tofu,No,No,Bird Eye Chillies
